id,setId,number,name,set_code,set_name,rarity,color,type,slug,hp,stage,prew_stage_name,attack,ability,text,weakness,retreat,rule
A1-001,A1,1,Bulbasaur,A1,Genetic Apex,Common,Grass,Pokemon,a1-1-bulbasaur,70,Basic,,"[{""info"": ""{GC} Vine Whip 40"", ""effect"": """"}]",,,Fire,1,
A1-002,A1,2,Ivysaur,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-2-ivysaur,90,Stage 1,Bulbasaur,"[{""info"": ""{GCC} Razor Leaf 60"", ""effect"": """"}]",,,Fire,2,
A1-003,A1,3,Venusaur,A1,Genetic Apex,Rare,Grass,Pokemon,a1-3-venusaur,160,Stage 2,Ivysaur,"[{""info"": ""{GGCC} Mega Drain 80"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",,,Fire,3,
A1-004,A1,4,Venusaur ex,A1,Genetic Apex,Double Rare,Grass,Pokemon,a1-4-venusaurex,190,Stage 2,Ivysaur,"[{""info"": ""{GCC} Razor Leaf 60"", ""effect"": """"}, {""info"": ""{GGCC} Giant Bloom 100"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",,,Fire,3,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-005,A1,5,Caterpie,A1,Genetic Apex,Common,Grass,Pokemon,a1-5-caterpie,50,Basic,,"[{""info"": ""{C} Find a Friend"", ""effect"": ""Put 1 random {G} Pok\u00e9mon from your deck into your hand.""}]",,,Fire,1,
A1-006,A1,6,Metapod,A1,Genetic Apex,Common,Grass,Pokemon,a1-6-metapod,80,Stage 1,Caterpie,"[{""info"": ""{CC} Bug Bite 30"", ""effect"": """"}]",,,Fire,2,
A1-007,A1,7,Butterfree,A1,Genetic Apex,Rare,Grass,Pokemon,a1-7-butterfree,120,Stage 2,Metapod,"[{""info"": ""{GCC} Gust 60"", ""effect"": """"}]","[{""info"": ""Powder Heal"", ""effect"": ""Once during your turn, you may heal 20 damage from each of your Pok\u00e9mon.""}]",,Fire,1,
A1-008,A1,8,Weedle,A1,Genetic Apex,Common,Grass,Pokemon,a1-8-weedle,50,Basic,,"[{""info"": ""{G} Sting 20"", ""effect"": """"}]",,,Fire,1,
A1-009,A1,9,Kakuna,A1,Genetic Apex,Common,Grass,Pokemon,a1-9-kakuna,80,Stage 1,Weedle,"[{""info"": ""{G} Bug Bite 30"", ""effect"": """"}]",,,Fire,2,
A1-010,A1,10,Beedrill,A1,Genetic Apex,Rare,Grass,Pokemon,a1-10-beedrill,120,Stage 2,Kakuna,"[{""info"": ""{G} Sharp Sting 70"", ""effect"": """"}]",,,Fire,1,
A1-011,A1,11,Oddish,A1,Genetic Apex,Common,Grass,Pokemon,a1-11-oddish,60,Basic,,"[{""info"": ""{G} Ram 20"", ""effect"": """"}]",,,Fire,1,
A1-012,A1,12,Gloom,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-12-gloom,80,Stage 1,Oddish,"[{""info"": ""{GC} Drool 40"", ""effect"": """"}]",,,Fire,2,
A1-013,A1,13,Vileplume,A1,Genetic Apex,Rare,Grass,Pokemon,a1-13-vileplume,140,Stage 2,Gloom,"[{""info"": ""{GGC} Soothing Scent 80"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Asleep.""}]",,,Fire,3,
A1-014,A1,14,Paras,A1,Genetic Apex,Common,Grass,Pokemon,a1-14-paras,70,Basic,,"[{""info"": ""{GC} Scratch 30"", ""effect"": """"}]",,,Fire,1,
A1-015,A1,15,Parasect,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-15-parasect,120,Stage 1,Paras,"[{""info"": ""{GGC} Slash 80"", ""effect"": """"}]",,,Fire,2,
A1-016,A1,16,Venonat,A1,Genetic Apex,Common,Grass,Pokemon,a1-16-venonat,60,Basic,,"[{""info"": ""{G} Tackle 20"", ""effect"": """"}]",,,Fire,1,
A1-017,A1,17,Venomoth,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-17-venomoth,80,Stage 1,Venonat,"[{""info"": ""{G} Poison Powder 30"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",,,Fire,1,
A1-018,A1,18,Bellsprout,A1,Genetic Apex,Common,Grass,Pokemon,a1-18-bellsprout,60,Basic,,"[{""info"": ""{G} Vine Whip 20"", ""effect"": """"}]",,,Fire,1,
A1-019,A1,19,Weepinbell,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-19-weepinbell,90,Stage 1,Bellsprout,"[{""info"": ""{GC} Razor Leaf 40"", ""effect"": """"}]",,,Fire,2,
A1-020,A1,20,Victreebel,A1,Genetic Apex,Rare,Grass,Pokemon,a1-20-victreebel,140,Stage 2,Weepinbell,"[{""info"": ""{GC} Vine Whip 60"", ""effect"": """"}]","[{""info"": ""Fragrance Trap"", ""effect"": ""If this Pok\u00e9mon is in the Active Spot, once during your turn, you may switch in 1 of your opponent's Benched Basic Pok\u00e9mon to the Active Spot.""}]",,Fire,2,
A1-021,A1,21,Exeggcute,A1,Genetic Apex,Common,Grass,Pokemon,a1-21-exeggcute,50,Basic,,"[{""info"": ""{G} Seed Bomb 20"", ""effect"": """"}]",,,Fire,1,
A1-022,A1,22,Exeggutor,A1,Genetic Apex,Rare,Grass,Pokemon,a1-22-exeggutor,130,Stage 1,Exeggcute,"[{""info"": ""{G} Stomp 30+"", ""effect"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",,,Fire,3,
A1-023,A1,23,Exeggutor ex,A1,Genetic Apex,Double Rare,Grass,Pokemon,a1-23-exeggutorex,160,Stage 1,Exeggcute,"[{""info"": ""{G} Tropical Swing 40+"", ""effect"": ""Flip a coin. If heads, this attack does 40 more damage.""}]",,,Fire,3,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-024,A1,24,Tangela,A1,Genetic Apex,Common,Grass,Pokemon,a1-24-tangela,80,Basic,,"[{""info"": ""{GC} Absorb 40"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon.""}]",,,Fire,2,
A1-025,A1,25,Scyther,A1,Genetic Apex,Common,Grass,Pokemon,a1-25-scyther,70,Basic,,"[{""info"": ""{G} Sharp Scythe 30"", ""effect"": """"}]",,,Fire,1,
A1-026,A1,26,Pinsir,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-26-pinsir,90,Basic,,"[{""info"": ""{GG} Double Horn 50x"", ""effect"": ""Flip 2 coins. This attack does 50 damage for each heads.""}]",,,Fire,2,
A1-027,A1,27,Cottonee,A1,Genetic Apex,Common,Grass,Pokemon,a1-27-cottonee,50,Basic,,"[{""info"": ""{C} Attach 10"", ""effect"": """"}]",,,Fire,1,
A1-028,A1,28,Whimsicott,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-28-whimsicott,80,Stage 1,Cottonee,"[{""info"": ""{C} Rolling Tackle 40"", ""effect"": """"}]",,,Fire,1,
A1-029,A1,29,Petilil,A1,Genetic Apex,Common,Grass,Pokemon,a1-29-petilil,60,Basic,,"[{""info"": ""{G} Blot 10"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon.""}]",,,Fire,1,
A1-030,A1,30,Lilligant,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-30-lilligant,100,Stage 1,Petilil,"[{""info"": ""{GG} Leaf Supply 50"", ""effect"": ""Take a {G} Energy from your Energy Zone and attach it to 1 of your Benched {G} Pok\u00e9mon.""}]",,,Fire,1,
A1-031,A1,31,Skiddo,A1,Genetic Apex,Common,Grass,Pokemon,a1-31-skiddo,70,Basic,,"[{""info"": ""{C} Surprise Attack 40"", ""effect"": ""Flip a coin. If tails, this attack does nothing.""}]",,,Fire,1,
A1-032,A1,32,Gogoat,A1,Genetic Apex,Common,Grass,Pokemon,a1-32-gogoat,120,Stage 1,Skiddo,"[{""info"": ""{GCC} Razor Leaf 70"", ""effect"": """"}]",,,Fire,2,
A1-033,A1,33,Charmander,A1,Genetic Apex,Common,Fire,Pokemon,a1-33-charmander,60,Basic,,"[{""info"": ""{R} Ember 30"", ""effect"": ""Discard a {R} Energy from this Pok\u00e9mon.""}]",,,Water,1,
A1-034,A1,34,Charmeleon,A1,Genetic Apex,Uncommon,Fire,Pokemon,a1-34-charmeleon,90,Stage 1,Charmander,"[{""info"": ""{RCC} Fire Claws 60"", ""effect"": """"}]",,,Water,2,
A1-035,A1,35,Charizard,A1,Genetic Apex,Rare,Fire,Pokemon,a1-35-charizard,150,Stage 2,Charmeleon,"[{""info"": ""{RRCC} Fire Spin 150"", ""effect"": ""Discard 2 {R} Energy from this Pok\u00e9mon.""}]",,,Water,2,
A1-036,A1,36,Charizard ex,A1,Genetic Apex,Double Rare,Fire,Pokemon,a1-36-charizardex,180,Stage 2,Charmeleon,"[{""info"": ""{RCC} Slash 60"", ""effect"": """"}, {""info"": ""{RRCC} Crimson Storm 200"", ""effect"": ""Discard 2 {R} Energy from this Pok\u00e9mon.""}]",,,Water,2,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-037,A1,37,Vulpix,A1,Genetic Apex,Common,Fire,Pokemon,a1-37-vulpix,50,Basic,,"[{""info"": ""{C} Tail Whip"", ""effect"": ""Flip a coin. If heads, the Defending Pok\u00e9mon can't attack during your opponent's next turn.""}]",,,Water,1,
A1-038,A1,38,Ninetales,A1,Genetic Apex,Uncommon,Fire,Pokemon,a1-38-ninetales,90,Stage 1,Vulpix,"[{""info"": ""{RR} Flamethrower 90"", ""effect"": ""Discard a {R} Energy from this Pok\u00e9mon.""}]",,,Water,1,
A1-039,A1,39,Growlithe,A1,Genetic Apex,Common,Fire,Pokemon,a1-39-growlithe,70,Basic,,"[{""info"": ""{CC} Bite 20"", ""effect"": """"}]",,,Water,1,
A1-040,A1,40,Arcanine,A1,Genetic Apex,Rare,Fire,Pokemon,a1-40-arcanine,130,Stage 1,Growlithe,"[{""info"": ""{RRC} Heat Tackle 100"", ""effect"": ""This Pok\u00e9mon also does 20 damage to itself.""}]",,,Water,2,
A1-041,A1,41,Arcanine ex,A1,Genetic Apex,Double Rare,Fire,Pokemon,a1-41-arcanineex,150,Stage 1,Growlithe,"[{""info"": ""{RRC} Inferno Onrush 120"", ""effect"": ""This Pok\u00e9mon also does 20 damage to itself.""}]",,,Water,2,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-042,A1,42,Ponyta,A1,Genetic Apex,Common,Fire,Pokemon,a1-42-ponyta,60,Basic,,"[{""info"": ""{R} Flare 20"", ""effect"": """"}]",,,Water,1,
A1-043,A1,43,Rapidash,A1,Genetic Apex,Uncommon,Fire,Pokemon,a1-43-rapidash,100,Stage 1,Ponyta,"[{""info"": ""{R} Fire Mane 40"", ""effect"": """"}]",,,Water,1,
A1-044,A1,44,Magmar,A1,Genetic Apex,Common,Fire,Pokemon,a1-44-magmar,80,Basic,,"[{""info"": ""{RR} Magma Punch 50"", ""effect"": """"}]",,,Water,2,
A1-045,A1,45,Flareon,A1,Genetic Apex,Rare,Fire,Pokemon,a1-45-flareon,120,Stage 1,Eevee,"[{""info"": ""{RCC} Flamethrower 110"", ""effect"": ""Discard 1 {R} Energy from this Pok\u00e9mon.""}]",,,Water,2,
A1-046,A1,46,Moltres,A1,Genetic Apex,Rare,Fire,Pokemon,a1-46-moltres,100,Basic,,"[{""info"": ""{RCC} Sky Attack 130"", ""effect"": ""Flip a coin. If tails, this attack does nothing.""}]",,,Lightning,1,
A1-047,A1,47,Moltres ex,A1,Genetic Apex,Double Rare,Fire,Pokemon,a1-47-moltresex,140,Basic,,"[{""info"": ""{R} Inferno Dance"", ""effect"": ""Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pok\u00e9mon in any way you like.""}, {""info"": ""{RCC} Heat Blast 70"", ""effect"": """"}]",,,Lightning,2,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-048,A1,48,Heatmor,A1,Genetic Apex,Common,Fire,Pokemon,a1-48-heatmor,80,Basic,,"[{""info"": ""{R} Combustion 30"", ""effect"": """"}]",,,Water,1,
A1-049,A1,49,Salandit,A1,Genetic Apex,Common,Fire,Pokemon,a1-49-salandit,60,Basic,,"[{""info"": ""{R} Scratch 20"", ""effect"": """"}]",,,Water,1,
